Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"callTestCase(findTestCase(""Login/TC-Login-Success-001""), [:], STOP_ON_FAILURE)",Edge Chromium 116,,,2023-08-31 12:42:11,2023-08-31 12:42:21,10.056s,PASSED
"name_product = getText(findTestObject(""Keranjang/title_product""))",Edge Chromium 116,,,2023-08-31 12:42:21,2023-08-31 12:42:21,0.349s,PASSED
"product_price = getText(findTestObject(""Products/products_price""))",Edge Chromium 116,,,2023-08-31 12:42:21,2023-08-31 12:42:22,0.349s,PASSED
"description_product = getText(findTestObject(""Products/description_product""))",Edge Chromium 116,,,2023-08-31 12:42:22,2023-08-31 12:42:22,0.348s,PASSED
"click(findTestObject(""Detail Product/title_product""))",Edge Chromium 116,,,2023-08-31 12:42:22,2023-08-31 12:42:22,0.408s,PASSED
"detail_name_product = getText(findTestObject(""Detail Product/detail_name_product""))",Edge Chromium 116,,,2023-08-31 12:42:22,2023-08-31 12:42:23,0.539s,PASSED
"detail_product_price = getText(findTestObject(""Products/detail_product_price""))",Edge Chromium 116,,,2023-08-31 12:42:23,2023-08-31 12:42:23,0.367s,PASSED
"detail_description_product = getText(findTestObject(""Products/detail_description_product""))",Edge Chromium 116,,,2023-08-31 12:42:23,2023-08-31 12:42:24,0.347s,PASSED
"verifyMatch(detail_name_product, name_product, false)",Edge Chromium 116,,,2023-08-31 12:42:24,2023-08-31 12:42:24,0.002s,PASSED
"verifyMatch(detail_product_price, product_price, false)",Edge Chromium 116,,,2023-08-31 12:42:24,2023-08-31 12:42:24,0.001s,PASSED
"verifyMatch(detail_description_product, description_product, false)",Edge Chromium 116,,,2023-08-31 12:42:24,2023-08-31 12:42:24,0.001s,PASSED
,,,,,,,
Test Cases/Keranjang/TC-Cart-Nav-001,Edge Chromium 116,user klik buttom Continue shoping,,2023-08-31 12:42:24,2023-08-31 12:42:40,16.661s,PASSED
